facility_id,location,facility_type,cleanliness_score,odor_score,waste_level,complaints,footfall,hours_since_cleaning,inspection_date,hygiene_risk
FAC00017,Delhi,Railway Station,3.8,0.3,6.3,5,150,27.5,2024-08-04,High
FAC01291,Kolkata,Public Toilet,6.3,8.6,4.8,6,379,14.9,2024-02-27,High
FAC00609,Pune,Market,8.1,6.9,5.6,4,406,22.0,2024-11-04,Medium
FAC00367,Kolkata,Market,4.6,8.0,4.2,0,176,2.8,2024-04-19,Medium
FAC00687,Kolkata,Hospital,5.5,3.5,5.1,0,304,15.5,2024-06-18,Low
FAC00775,Mumbai,Bus Stand,7.2,8.4,5.8,0,218,13.9,2024-04-27,Medium
FAC00441,Chennai,Hospital,5.8,7.3,3.3,9,157,16.0,2024-03-13,Medium
FAC00568,Bangalore,Public Toilet,6.2,6.0,6.7,3,359,27.0,2024-06-21,Medium
FAC00894,Chennai,Hospital,7.5,6.7,6.5,3,199,8.5,2024-02-24,High
FAC01068,Bangalore,Railway Station,8.4,5.3,4.4,7,312,2.3,2024-04-05,Low
FAC00053,Chennai,Bus Stand,6.7,,5.8,2,105,16.4,2024-04-03,Low
FAC00459,Delhi,Public Toilet,6.2,6.2,6.0,1,385,8.0,2024-01-20,Medium
FAC01201,Delhi,Market,4.7,4.1,2.5,0,482,18.3,2024-11-30,Low
FAC00899,Delhi,Public Toilet,4.3,0.8,4.2,0,360,19.1,2024-10-13,Medium
FAC00347,Chennai,Bus Stand,3.3,2.5,3.7,6,218,9.4,2024-06-10,Medium
FAC01332,Delhi,Bus Stand,8.4,5.0,5.0,3,303,12.0,2024-05-02,Low
FAC00662,Mumbai,Hospital,6.3,7.7,8.4,2,404,5.3,2024-08-12,High
FAC00692,Kolkata,Railway Station,8.6,4.4,1.4,3,316,15.0,2024-05-06,Low
FAC00318,Pune,Market,5.9,5.7,0.9,2,426,0,2024-12-01,Low
FAC00626,Chennai,Market,5.9,5.7,5.7,3,0,4.0,2024-05-31,Medium
FAC00453,Chennai,Public Toilet,6.5,7.0,5.0,5,41,17.1,2024-07-31,Medium
FAC01322,Bangalore,Railway Station,6.1,6.5,3.8,5,75,21.4,2024-01-26,Medium
FAC00915,Chennai,Market,9.0,,2.6,8,298,27.3,2024-11-14,Low
FAC00531,Chennai,Bus Stand,5.8,5.2,3.8,6,180,21.1,2024-07-26,Medium
FAC01324,Mumbai,Public Toilet,3.8,3.0,7.5,4,72,0,2024-05-17,Medium
FAC00425,Bangalore,Hospital,4.1,7.8,5.2,2,687,20.6,2024-01-08,High
FAC00635,Kolkata,Park,9.2,5.3,7.8,2,237,16.4,2024-12-26,Medium
FAC00267,Chennai,Park,6.6,4.0,3.5,3,234,25.4,2024-10-20,Low
FAC00543,Kolkata,Railway Station,7.8,4.4,4.0,7,496,10.3,2024-03-26,Low
FAC00322,Chennai,Public Toilet,7.8,6.7,8.2,1,86,6.7,2024-03-09,Medium
FAC01475,Chennai,Market,4.8,4.0,3.0,5,232,15.9,2024-07-05,Medium
FAC00727,Bangalore,Hospital,8.7,,8.8,4,72,22.8,2024-09-28,Medium
FAC00911,Bangalore,Public Toilet,7.3,4.3,6.0,2,247,13.0,2024-09-05,Low
FAC00483,Mumbai,Railway Station,9.1,3.8,4.2,0,487,17.4,2024-11-15,Low
FAC00429,Mumbai,Public Toilet,3.3,5.2,6.6,2,263,12.0,2024-12-30,High
FAC00077,Chennai,Public Toilet,3.5,2.4,2.0,4,233,10.1,2024-02-16,Medium
FAC00193,Mumbai,Railway Station,7.7,1.3,5.3,4,381,18.2,2024-07-22,Low
FAC01474,Pune,Park,5.4,4.0,6.3,6,232,11.6,2024-05-20,Medium
FAC00824,Chennai,Railway Station,9.6,5.1,8.1,6,429,0,2024-12-16,Medium
FAC00036,Kolkata,Market,5.5,7.8,6.3,4,129,18.5,2024-04-19,High
FAC00338,Pune,Hospital,5.5,8.2,4.2,5,671,26.1,2024-04-17,High
FAC01188,Pune,Market,7.5,2.3,2.0,4,211,20.5,2024-07-02,Low
FAC01330,Kolkata,Park,5.1,5.1,6.1,9,289,2.2,2024-05-28,Medium
FAC00119,Kolkata,Park,5.5,6.4,5.7,11,205,14.5,2024-02-21,High
FAC01282,Kolkata,Park,4.8,7.2,4.4,0,449,15.1,2024-09-25,Medium
FAC00460,Mumbai,Park,5.9,5.6,2.1,4,453,30.9,2024-03-14,Medium
FAC00278,Pune,Park,7.7,3.7,6.4,1,623,22.2,2024-10-19,Low
FAC00702,Bangalore,Park,6.0,4.7,5.5,3,440,3.8,2024-06-16,Medium
FAC01195,Mumbai,Hospital,6.2,5.2,3.0,2,223,18.8,2024-10-30,Low
FAC00438,Chennai,Market,5.7,4.2,5.0,5,485,11.6,2024-05-06,Medium
FAC00540,Mumbai,Railway Station,5.5,8.1,3.9,2,253,8.3,2024-01-15,Medium
FAC01010,Bangalore,Park,5.2,6.6,3.3,8,540,16.1,2024-01-12,Medium
FAC00607,Bangalore,Park,8.3,6.6,6.9,6,363,18.6,2024-06-01,Medium
FAC00253,Mumbai,Bus Stand,6.9,6.4,2.5,4,0,9.4,2024-03-02,Low
FAC00168,Kolkata,Railway Station,6.2,5.1,3.7,6,272,9.3,2024-08-06,Low
FAC00028,Delhi,Hospital,8.1,5.8,2.5,2,467,16.0,2024-07-02,Low
FAC00252,Kolkata,Public Toilet,5.3,9.2,6.5,2,389,7.8,2024-03-10,High
FAC00891,Kolkata,Park,8.4,3.7,9.0,5,494,11.9,2024-07-02,Medium
FAC00650,Pune,Park,7.0,4.2,5.5,1,424,22.4,2024-03-12,Low
FAC00203,Bangalore,Market,10,2.3,3.4,3,255,17.0,2024-08-10,Low
FAC01455,Kolkata,Hospital,5.7,7.3,4.9,0,495,10.2,2024-03-25,Medium
FAC00829,Pune,Park,8.4,5.5,5.1,2,0,20.6,2024-08-03,Low
FAC00361,Kolkata,Public Toilet,5.6,6.0,5.8,9,153,13.8,2024-11-10,Medium
FAC00875,Bangalore,Park,8.2,9.3,3.5,6,0,3.8,2024-12-25,Medium
FAC00490,Mumbai,Market,6.3,2.1,3.4,2,192,24.4,2024-02-04,Low
FAC01142,Mumbai,Railway Station,5.4,10,2.9,0,299,,2024-10-20,High
FAC00323,Mumbai,Market,5.7,5.3,8.3,1,130,15.0,2024-03-06,Medium
FAC01087,Bangalore,Railway Station,6.1,2.1,4.8,2,250,14.0,2024-04-26,Low
FAC00819,Kolkata,Railway Station,10,3.4,2.6,4,282,22.0,2024-09-19,Low
FAC00105,Chennai,Park,5.2,6.1,2.7,3,504,21.7,2024-04-22,Medium
FAC01431,Kolkata,Hospital,7.6,7.8,1.5,5,464,18.3,2024-05-24,Medium
FAC00733,Kolkata,Park,6.2,7.7,5.5,3,450,21.5,2024-04-24,Medium
FAC00333,Mumbai,Hospital,6.0,6.9,6.8,8,499,14.3,2024-11-01,High
FAC00533,Kolkata,Bus Stand,7.2,2.3,6.3,2,459,19.9,2024-07-24,High
FAC01170,Mumbai,Park,1.8,4.7,4.9,9,463,12.7,2024-10-06,High
FAC00780,Delhi,Bus Stand,6.4,7.0,3.8,3,496,21.0,2024-12-01,Medium
FAC00848,Delhi,Park,7.6,0.6,0.3,4,84,20.1,2024-08-07,Low
FAC00545,Kolkata,Hospital,5.7,8.8,0.6,7,378,18.8,2024-10-13,High
FAC01016,Delhi,Market,6.3,8.0,3.7,4,139,23.6,2024-04-08,Medium
FAC00420,Pune,Market,4.5,3.3,7.0,5,232,23.4,2024-12-10,Medium
FAC00132,Pune,Market,9.0,6.1,3.7,9,543,17.5,2024-07-23,Medium
FAC00886,Mumbai,Bus Stand,8.4,3.6,6.3,7,247,0,2024-02-04,Low
FAC00241,Pune,Hospital,9.0,6.7,4.1,0,383,15.2,2024-06-07,Low
FAC01276,Chennai,Market,7.4,5.3,3.2,7,281,9.1,2024-06-23,Low
FAC00082,Delhi,Park,9.8,5.9,4.4,4,503,3.6,2024-05-26,Low
FAC01344,Delhi,Railway Station,6.9,4.8,4.9,3,420,21.3,2024-03-30,Low
FAC00269,Bangalore,Railway Station,8.3,9.0,7.4,6,105,1.2,2024-02-04,High
FAC00590,Pune,Bus Stand,6.5,7.6,4.6,7,279,11.3,2024-07-22,Medium
FAC01223,Delhi,Public Toilet,5.5,6.6,7.4,4,327,9.1,2024-01-09,High
FAC00021,Chennai,Public Toilet,4.4,4.2,5.3,2,383,13.2,2024-04-30,Medium
FAC01460,Bangalore,Park,8.1,4.6,4.4,7,420,21.1,2024-03-22,Low
FAC00647,Chennai,Public Toilet,6.7,9.5,4.0,11,265,8.6,2024-07-27,High
FAC00328,Pune,Railway Station,7.8,6.6,5.3,4,290,28.0,2024-02-01,Medium
FAC01158,Pune,Railway Station,5.6,2.8,6.2,6,208,14.2,2024-06-22,Medium
FAC00464,Chennai,Hospital,5.7,10,5.5,0,385,20.1,2024-01-15,High
FAC01428,Delhi,Market,4.4,2.4,5.3,8,251,,2024-02-19,Medium
FAC01492,Chennai,Public Toilet,4.0,5.3,6.6,5,449,13.5,2024-05-14,High
FAC01337,Pune,Market,9.1,0,5.6,4,333,10.2,2024-05-05,Low
FAC01396,Chennai,Public Toilet,6.2,6.4,6.0,0,411,8.2,2024-08-07,Medium
FAC00504,Kolkata,Park,2.9,5.5,5.3,9,58,20.5,2024-12-16,High
FAC00836,Bangalore,Bus Stand,6.2,5.2,5.1,3,599,16.3,2024-06-11,Medium
FAC00573,Chennai,Market,5.4,4.2,2.9,2,398,17.4,2024-10-13,Low
FAC00476,Delhi,Railway Station,5.5,7.2,2.7,6,225,6.3,2024-08-01,Medium
FAC00067,Bangalore,Hospital,3.1,6.8,6.9,3,201,17.8,2024-09-10,High
FAC01351,Bangalore,Park,5.6,7.8,3.2,6,435,12.2,2024-09-13,Medium
FAC00298,Bangalore,Hospital,4.4,5.0,5.4,2,466,13.6,2024-03-14,Medium
FAC00313,Bangalore,Public Toilet,8.8,2.3,4.0,0,135,15.0,2024-12-01,Low
FAC01028,Delhi,Hospital,6.5,7.0,5.2,0,231,7.9,2024-09-25,Medium
FAC00615,Chennai,Public Toilet,4.8,6.2,8.7,6,162,18.5,2024-12-23,High
FAC01078,Chennai,Railway Station,7.3,3.2,3.7,2,515,4.8,2024-01-21,Low
FAC00794,Chennai,Park,8.7,4.4,4.7,3,371,4.3,2024-03-12,Low
FAC00497,Chennai,Public Toilet,1.8,4.9,2.4,4,475,,2024-12-18,High
FAC00756,Delhi,Railway Station,6.3,7.0,1.5,3,200,18.0,2024-03-15,Medium
FAC01261,Delhi,Market,5.3,3.0,4.2,0,485,22.0,2024-12-29,Low
FAC00698,Delhi,Public Toilet,5.3,3.4,3.8,4,180,3.4,2024-03-23,Low
FAC00234,Chennai,Bus Stand,7.8,7.3,7.6,4,81,18.7,2024-12-17,Medium
FAC00508,Bangalore,Market,5.0,5.9,6.1,8,110,6.8,2024-06-03,Medium
FAC00851,Delhi,Public Toilet,6.2,5.7,3.5,6,416,0,2024-09-26,Low
FAC00901,Delhi,Park,7.0,10,6.0,2,302,11.1,2024-10-21,High
FAC00478,Bangalore,Bus Stand,7.6,1.7,7.1,1,522,9.3,2024-07-15,Low
FAC01196,Kolkata,Park,5.8,5.4,4.4,4,222,0,2024-12-18,Low
FAC00853,Bangalore,Public Toilet,8.4,6.1,6.2,4,448,20.0,2024-01-11,Medium
FAC01041,Bangalore,Hospital,4.6,6.3,1.4,2,385,3.4,2024-03-23,Medium
FAC01131,Chennai,Public Toilet,3.2,4.4,2.1,6,340,18.3,2024-11-15,Medium
FAC01469,Chennai,Hospital,7.1,7.2,3.4,5,111,19.5,2024-10-24,Medium
FAC01012,Bangalore,Hospital,6.8,6.5,5.2,0,186,18.8,2024-06-12,Low
FAC01231,Bangalore,Bus Stand,7.6,5.8,4.3,2,168,7.3,2024-03-17,Low
FAC01198,Chennai,Bus Stand,5.8,2.3,6.6,2,319,8.1,2024-12-26,Medium
FAC00745,Pune,Public Toilet,6.1,3.9,6.1,6,249,24.2,2024-12-09,Medium
FAC00742,Chennai,Railway Station,8.5,7.8,1.3,1,467,3.8,2024-12-22,Low
FAC00263,Chennai,Park,6.4,7.1,4.5,1,110,7.2,2024-04-06,Low
FAC00852,Delhi,Bus Stand,3.5,4.2,8.2,2,220,4.8,2024-06-12,High
FAC00636,Bangalore,Park,7.3,6.3,1.2,4,464,11.4,2024-03-02,Low
FAC01120,Delhi,Public Toilet,3.2,8.0,4.9,5,381,9.6,2024-02-27,High
FAC00767,Bangalore,Public Toilet,5.1,4.8,3.0,10,133,2.3,2024-01-30,Medium
FAC01001,Delhi,Public Toilet,7.1,7.1,6.4,4,178,5.9,2024-05-07,Medium
FAC01284,Pune,Railway Station,5.1,8.5,4.7,0,541,20.1,2024-10-09,High
FAC00281,Mumbai,Park,6.6,5.2,3.7,0,335,10.2,2024-02-21,Low
FAC01222,Bangalore,Park,8.2,3.8,6.5,4,228,9.5,2024-10-19,Low
FAC01389,Mumbai,Park,7.4,5.2,6.0,3,269,7.1,2024-09-15,Low
FAC00245,Pune,Hospital,5.7,5.4,5.6,2,165,15.4,2024-10-10,Medium
FAC00264,Bangalore,Public Toilet,5.5,7.6,5.9,5,358,23.6,2024-03-31,High
FAC00651,Chennai,Railway Station,10,5.4,5.2,7,426,0,2024-12-28,Low
FAC00827,Pune,Hospital,4.5,7.8,4.4,4,364,3.4,2024-12-06,High
FAC00839,Mumbai,Park,6.9,4.4,4.2,5,344,14.2,2024-10-05,Low
FAC01388,Chennai,Bus Stand,6.7,6.1,3.8,1,177,12.5,2024-06-24,Low
FAC01315,Pune,Hospital,4.9,5.0,4.0,5,393,21.6,2024-04-22,Medium
FAC00268,Bangalore,Railway Station,8.8,5.9,9.4,0,357,24.2,2024-05-01,Medium
FAC00288,Chennai,Public Toilet,1.7,7.1,2.0,4,149,26.7,2024-01-15,High
FAC00214,Delhi,Bus Stand,7.7,1.0,4.4,0,184,11.7,2024-11-18,Low
FAC01379,Delhi,Railway Station,9.1,4.5,5.1,9,87,19.2,2024-11-27,Low
FAC00539,Delhi,Railway Station,7.1,4.0,0.7,4,251,24.1,2024-01-02,Low
FAC00813,Chennai,Market,5.5,0.1,4.3,2,100,21.2,2024-10-27,Low
FAC01193,Kolkata,Hospital,9.7,5.4,3.6,3,358,16.4,2024-04-17,Low
FAC00953,Mumbai,Public Toilet,6.2,5.8,2.4,0,580,16.8,2024-05-18,Low
FAC00714,Chennai,Park,5.6,5.8,6.1,2,122,11.6,2024-05-25,Medium
FAC01397,Bangalore,Park,9.9,4.3,2.7,2,325,4.0,2024-12-27,Low
FAC00934,Mumbai,Bus Stand,4.2,3.0,1.3,5,239,1.6,2024-09-17,Medium
FAC01310,Kolkata,Railway Station,6.8,6.2,5.1,9,300,23.6,2024-10-29,Medium
FAC01497,Kolkata,Public Toilet,9.2,4.7,5.1,5,378,23.8,2024-05-01,Low
FAC00477,Delhi,Hospital,9.1,5.4,5.1,4,574,15.3,2024-02-13,Medium
FAC00625,Chennai,Public Toilet,6.8,3.6,5.8,4,609,14.9,2024-03-25,Low
FAC00215,Mumbai,Park,5.0,3.8,7.4,4,389,24.1,2024-12-26,Medium
FAC00180,Kolkata,Park,5.2,6.2,5.5,9,497,17.3,2024-06-12,High
FAC00705,Delhi,Railway Station,0.6,4.0,5.4,2,529,11.2,2024-12-21,High
FAC01094,Bangalore,Park,3.5,2.4,8.1,3,198,0,2024-04-30,High
FAC00933,Chennai,Market,6.1,4.4,8.2,0,134,8.0,2024-06-30,Medium
FAC01085,Bangalore,Railway Station,6.6,6.6,3.3,2,276,22.0,2024-12-15,Medium
FAC01027,Bangalore,Bus Stand,3.2,8.6,2.1,0,137,15.0,2024-04-25,High
FAC00039,Kolkata,Market,5.4,6.1,2.9,0,533,1.2,2024-12-22,Medium
FAC00877,Bangalore,Public Toilet,5.2,5.0,3.8,4,271,22.5,2024-09-07,Medium
FAC01101,Pune,Market,7.2,0,4.9,3,553,8.4,2024-12-24,Low
FAC00372,Chennai,Market,5.1,1.1,1.4,2,122,10.2,2024-04-09,Low
FAC00690,Delhi,Park,6.6,8.3,5.3,4,222,13.4,2024-02-26,Medium
FAC00304,Mumbai,Hospital,4.5,7.6,8.8,5,312,23.9,2024-01-11,Low
FAC00169,Bangalore,Park,8.7,6.9,5.1,5,266,19.4,2024-06-17,Medium
FAC00709,Kolkata,Public Toilet,6.4,4.8,5.2,1,422,1.7,2024-04-15,Low
FAC01020,Bangalore,Market,8.7,7.8,3.0,1,501,15.4,2024-01-21,Medium
FAC00158,Bangalore,Hospital,5.2,6.1,1.7,3,14,16.8,2024-10-14,Medium
FAC00276,Delhi,Hospital,5.1,5.0,6.1,2,202,16.1,2024-02-01,Medium
FAC00594,Chennai,Bus Stand,8.8,2.7,4.5,0,252,30.0,2024-06-09,Low
FAC01238,Chennai,Market,7.4,4.9,5.3,2,380,14.7,2024-07-30,Low
FAC00239,Kolkata,Park,7.2,9.8,6.6,3,262,26.3,2024-11-23,High
FAC00257,Chennai,Hospital,7.2,8.1,4.9,2,487,2.1,2024-10-20,Medium
FAC00834,Bangalore,Market,2.9,5.3,2.6,0,385,27.5,2024-03-04,Medium
FAC00125,Chennai,Market,6.6,7.1,7.3,6,274,17.9,2024-12-27,Medium
FAC00984,Pune,Park,8.7,4.6,6.1,7,490,13.7,2024-06-24,Medium
FAC01045,Delhi,Railway Station,5.9,4.4,5.1,0,237,1.5,2024-04-19,Low
FAC01099,Kolkata,Railway Station,5.4,3.9,4.0,1,351,28.2,2024-12-14,Low
FAC00148,Delhi,Public Toilet,5.9,1.4,5.7,3,178,21.5,2024-05-06,Low
FAC01400,Bangalore,Railway Station,7.2,6.8,2.8,0,364,11.8,2024-02-29,Low
FAC00906,Delhi,Market,9.6,6.0,5.6,7,143,22.3,2024-12-22,Medium
FAC00855,Kolkata,Public Toilet,8.4,5.6,5.6,1,275,20.6,2024-09-09,Low
FAC00380,Chennai,Park,4.4,5.4,4.1,2,564,,2024-04-17,Medium
FAC00431,Delhi,Public Toilet,3.6,2.5,7.6,0,520,15.9,2024-12-02,High
FAC01116,Bangalore,Bus Stand,8.0,4.4,6.2,7,230,9.7,2024-11-16,Medium
FAC00360,Delhi,Market,7.9,7.5,4.9,0,223,13.7,2024-02-05,Medium
FAC00816,Pune,Market,3.1,2.1,7.8,5,271,8.6,2024-10-17,High
FAC01209,Mumbai,Market,0.6,6.2,5.7,4,204,8.1,2024-07-27,High
FAC01308,Delhi,Hospital,3.8,6.3,7.9,4,295,6.5,2024-08-09,High
FAC00680,Bangalore,Railway Station,5.7,7.7,4.7,4,175,13.4,2024-09-11,Medium
FAC00801,Delhi,Market,7.5,5.4,3.2,5,101,19.7,2024-11-30,Low
FAC00089,Pune,Public Toilet,6.5,7.9,3.1,5,554,10.1,2024-07-31,Medium
FAC00638,Chennai,Market,7.1,9.0,3.5,4,132,27.2,2024-06-21,Medium
FAC00977,Pune,Bus Stand,5.9,3.7,5.7,2,460,4.7,2024-06-11,Low
FAC00244,Delhi,Hospital,8.2,6.4,3.0,6,180,10.9,2024-02-29,Low
FAC01076,Delhi,Bus Stand,5.1,4.6,3.7,5,403,12.6,2024-12-10,Medium
FAC00051,Pune,Bus Stand,3.6,4.8,7.4,5,486,14.7,2024-08-23,High
FAC00541,Bangalore,Park,1.3,5.6,3.0,2,150,15.0,2024-03-02,High
FAC00781,Delhi,Bus Stand,5.1,1.0,7.0,5,178,24.7,2024-01-23,Medium
FAC00964,Delhi,Bus Stand,2.0,6.5,7.6,1,371,,2024-08-01,High
FAC00359,Chennai,Park,3.8,2.3,4.1,0,425,12.2,2024-04-22,Medium
FAC01498,Kolkata,Park,6.8,6.2,3.0,0,673,17.4,2024-03-29,Low
FAC01194,Chennai,Railway Station,9.2,7.5,5.1,4,394,17.5,2024-03-01,Medium
FAC01387,Bangalore,Market,6.1,1.5,5.6,0,386,32.7,2024-02-22,Low
FAC00207,Bangalore,Hospital,8.1,7.1,2.4,1,235,4.8,2024-08-12,Low
FAC01257,Bangalore,Bus Stand,6.8,4.2,5.6,6,396,13.8,2024-11-09,Low
FAC00754,Pune,Hospital,3.3,8.3,3.9,4,315,22.4,2024-05-17,High
FAC01486,Delhi,Bus Stand,7.7,4.9,3.6,1,63,16.7,2024-03-12,Low
FAC00112,Kolkata,Public Toilet,8.0,5.3,6.4,3,152,17.3,2024-06-29,Medium
FAC00064,Bangalore,Hospital,9.3,3.4,5.7,4,225,26.4,2024-12-18,Low
FAC00117,Kolkata,Market,5.0,7.7,5.8,6,562,11.5,2024-06-07,High
FAC00958,Delhi,Public Toilet,7.3,6.1,6.2,1,320,18.4,2024-10-17,Medium
FAC01200,Mumbai,Railway Station,3.0,8.3,4.2,3,107,7.7,2024-03-24,High
FAC01214,Bangalore,Railway Station,5.0,3.2,3.7,4,173,14.5,2024-05-17,Low
FAC00804,Pune,Bus Stand,6.0,6.5,8.0,0,421,10.9,2024-12-22,Medium
FAC01026,Kolkata,Railway Station,5.7,2.1,6.7,3,248,10.7,2024-06-09,Medium
FAC01224,Delhi,Railway Station,3.9,4.2,8.4,3,405,18.2,2024-03-29,High
FAC01098,Chennai,Bus Stand,7.9,6.1,6.2,3,315,31.0,2024-03-09,High
FAC00487,Pune,Market,6.0,9.1,6.8,5,140,15.4,2024-12-15,High
FAC01295,Pune,Bus Stand,7.5,6.5,4.3,5,341,5.0,2024-06-04,Low
FAC00034,Mumbai,Hospital,8.4,4.3,3.9,0,247,7.3,2024-12-05,High
FAC00976,Chennai,Hospital,6.7,5.5,5.6,2,291,0,2024-01-29,Low
FAC01288,Kolkata,Hospital,6.5,5.4,2.9,3,396,0.7,2024-04-18,Low
FAC01316,Mumbai,Public Toilet,7.2,6.0,2.5,5,276,11.6,2024-06-21,Low
FAC00078,Delhi,Bus Stand,6.5,2.3,5.6,5,308,15.8,2024-08-08,Low
FAC01125,Mumbai,Bus Stand,8.4,9.5,3.8,5,412,17.5,2024-10-17,Medium
FAC00019,Chennai,Hospital,4.5,6.7,7.6,0,325,14.5,2024-05-26,High
FAC00666,Pune,Park,6.5,5.6,4.0,0,507,0,2024-09-03,Low
FAC00266,Pune,Park,5.4,6.9,8.0,3,109,18.4,2024-10-14,High
FAC01155,Chennai,Hospital,8.3,8.0,4.2,4,409,19.4,2024-01-08,Medium
FAC01393,Mumbai,Bus Stand,9.1,7.7,5.0,6,422,23.9,2024-09-25,Medium
FAC00307,Bangalore,Bus Stand,6.9,1.7,6.5,3,240,16.5,2024-09-03,Low
FAC01180,Mumbai,Public Toilet,9.1,2.8,1.6,0,668,7.9,2024-03-22,Low
FAC00999,Chennai,Public Toilet,6.5,1.4,4.8,4,557,10.0,2024-08-20,Low
FAC01207,Delhi,Hospital,6.5,4.4,3.2,0,649,14.9,2024-04-19,Low
FAC00079,Delhi,Market,3.9,4.9,4.9,2,604,21.7,2024-03-14,Medium
FAC00335,Chennai,Park,4.3,6.7,5.8,5,352,21.0,2024-09-28,High
FAC00604,Pune,Hospital,7.3,8.0,6.7,5,556,12.0,2024-09-26,High
FAC01391,Chennai,Park,6.0,6.9,6.4,4,85,2.5,2024-02-27,Medium
FAC00143,Delhi,Railway Station,8.4,10,0.4,6,397,15.4,2024-12-29,Medium
FAC00588,Pune,Market,2.4,7.2,1.6,5,506,22.6,2024-05-27,High
FAC00682,Pune,Park,7.6,6.7,2.8,3,264,8.6,2024-04-07,Low
FAC00454,Mumbai,Public Toilet,5.1,7.6,4.4,3,359,20.2,2024-06-14,Medium
FAC00309,Pune,Public Toilet,7.0,10,3.9,7,400,16.9,2024-08-06,Medium
FAC00715,Chennai,Market,5.7,4.9,6.1,6,378,18.3,2024-07-26,High
FAC01286,Bangalore,Bus Stand,8.0,6.8,2.6,4,198,12.4,2024-02-11,Low
FAC00822,Bangalore,Railway Station,2.9,4.6,5.6,5,634,26.8,2024-02-03,High
FAC01029,Mumbai,Market,7.1,8.2,3.8,4,291,16.6,2024-02-10,Medium
FAC00473,Kolkata,Hospital,7.5,2.3,3.4,1,262,24.7,2024-06-02,Low
FAC00904,Mumbai,Park,10,7.6,7.3,1,324,11.9,2024-11-09,Medium
FAC00658,Chennai,Hospital,6.1,3.8,4.9,3,556,11.7,2024-01-02,Low
FAC00502,Kolkata,Public Toilet,1.8,4.7,6.4,1,313,8.2,2024-08-29,High
