facility_id,location,facility_type,cleanliness_score,odor_score,waste_level,water_availability,footfall,complaints,inspection_date
FAC0032,Kolkata,Park,6.5,1.5,1.5,No,118.0,0.0,2024-05-12
FAC0033,Delhi,Hospital,6.0,8.9,2.9,No,310.0,6.0,2024-12-27
FAC0034,Delhi,Public Toilet,7.2,4.0,5.5,No,211.0,5.0,2024-07-13
FAC0035,Chennai,Public Toilet,7.9,4.9,0.9,No,501.0,0.0,2024-12-08
FAC0036,Pune,Market,5.8,4.9,0.3,Yes,484.0,3.0,2024-04-03
FAC0037,Mumbai,Railway Station,5.6,6.4,2.8,No,524.0,2.0,2024-04-24
FAC0038,Pune,Public Toilet,6.5,6.1,1.4,Yes,395.0,3.0,2024-12-24
FAC0039,Bangalore,Railway Station,7.7,7.9,4.5,Yes,226.0,5.0,2024-02-08
FAC0040,Kolkata,Hospital,6.3,6.2,3.1,Yes,419.0,0.0,2024-09-16
FAC0041,Pune,Railway Station,8.4,5.7,2.2,Yes,309.0,0.0,2024-10-02
FAC0042,Chennai,Market,4.0,2.5,5.9,Yes,250.0,6.0,2024-06-21
FAC0043,Mumbai,Market,7.2,4.5,5.4,Yes,560.0,3.0,2024-10-11
FAC0044,Delhi,Hospital,8.9,2.4,5.0,No,317.0,2.0,2024-08-05
FAC0045,Pune,Park,5.1,8.2,4.3,Yes,413.0,3.0,2024-10-28
FAC0046,Kolkata,Park,5.0,5.3,5.5,Yes,259.0,6.0,2024-03-05
FAC0047,Pune,Market,6.7,5.7,4.0,Yes,467.0,4.0,2024-01-28
FAC0048,Delhi,Bus Stand,7.0,7.3,4.5,Yes,375.0,3.0,2024-08-14
FAC0049,Bangalore,Park,8.0,5.4,2.3,Unknown,158.0,5.0,2024-08-18
FAC0050,Pune,Park,6.1,5.0,4.6,Yes,237.0,0.0,2024-04-11
FAC0051,Chennai,Public Toilet,4.0,4.7,8.0,Yes,147.0,8.0,2024-07-25
FAC0052,Bangalore,Park,7.7,3.4,3.9,Partial,454.0,4.0,2024-01-11
FAC0053,Pune,Railway Station,3.8,3.9,5.7,No,461.0,5.0,2024-12-09
FAC0054,Mumbai,Bus Stand,5.9,4.0,7.5,Yes,220.0,1.0,2024-09-20
FAC0055,Mumbai,Hospital,7.9,3.9,7.0,Partial,360.0,4.0,2024-03-03
FAC0056,Mumbai,Hospital,4.0,4.4,3.5,Yes,290.0,4.0,2024-03-19
FAC0057,Chennai,Hospital,5.8,8.5,2.3,No,387.0,4.0,2024-07-31
FAC0058,Bangalore,Park,8.8,5.5,4.7,Yes,403.0,0.0,2024-07-12
FAC0059,Chennai,Railway Station,10.0,1.4,4.7,No,447.0,8.0,2024-09-10
FAC0060,Mumbai,Bus Stand,7.3,2.8,4.5,Yes,413.0,1.0,2024-08-28
FAC0061,Bangalore,Railway Station,5.2,5.5,6.2,Partial,364.0,2.0,2024-05-27
FAC0062,Delhi,Hospital,7.6,5.5,7.8,Yes,83.0,5.0,2024-09-28
FAC0063,Chennai,Park,6.0,4.4,5.9,Unknown,483.0,2.0,2024-08-26
FAC0064,Bangalore,Hospital,5.6,4.7,4.3,Yes,426.0,3.0,2024-02-24
FAC0065,Delhi,Market,6.5,4.4,6.3,No,294.0,3.0,2024-05-26
FAC0066,Delhi,Park,8.8,6.0,3.0,Yes,136.0,0.0,2024-06-07
FAC0067,Chennai,Public Toilet,3.9,3.9,6.1,No,367.0,4.0,2024-09-03
FAC0068,Bangalore,Hospital,7.4,8.0,1.6,No,380.0,3.0,2024-07-06
FAC0069,Mumbai,Market,8.7,5.5,1.3,Yes,362.0,0.0,2024-11-08
FAC0070,Delhi,Hospital,4.8,8.9,6.1,Yes,255.0,2.0,2024-07-17
FAC0071,Chennai,Railway Station,5.1,2.6,6.7,Yes,247.0,7.0,2024-08-15
FAC0072,Delhi,Railway Station,4.8,8.0,6.5,Partial,475.0,1.0,2024-04-18
FAC0073,Pune,Hospital,6.2,5.3,4.9,Yes,190.0,4.0,2024-11-01
FAC0074,Mumbai,Railway Station,5.3,6.2,3.5,Yes,40.0,2.0,2024-01-09
FAC0075,Delhi,Railway Station,9.3,6.6,0.9,No,259.0,1.0,2024-12-03
FAC0076,Kolkata,Railway Station,7.0,0.5,6.0,Yes,590.0,3.0,2024-03-16
FAC0077,Mumbai,Bus Stand,6.1,8.3,2.6,Partial,260.0,0.0,2024-04-20
FAC0078,Chennai,Market,6.1,7.1,3.0,No,104.0,6.0,2024-02-16
FAC0079,Mumbai,Public Toilet,3.8,6.9,3.7,Yes,356.0,0.0,2024-01-27
FAC0080,Bangalore,Park,5.3,5.1,5.5,Partial,350.0,8.0,2024-08-07
FAC0081,Kolkata,Park,4.5,3.6,9.5,Yes,356.0,6.0,2024-02-05
FAC0082,Delhi,Hospital,6.8,5.2,4.1,Partial,334.0,7.0,2024-01-27
FAC0083,Delhi,Bus Stand,6.5,4.9,6.6,No,379.0,0.0,2024-09-06
FAC0084,Kolkata,Hospital,6.7,5.0,5.9,Partial,395.0,4.0,2024-08-08
FAC0085,Delhi,Bus Stand,6.5,7.6,0.3,Yes,299.0,9.0,2024-08-01
FAC0086,Bangalore,Public Toilet,8.1,1.2,7.7,Yes,365.0,0.0,2024-09-25
FAC0087,Mumbai,Market,8.5,3.1,5.2,Yes,556.0,2.0,2024-04-30
FAC0088,Mumbai,Bus Stand,6.4,5.5,5.9,Yes,314.0,0.0,2024-10-16
FAC0089,Pune,Hospital,8.1,5.4,6.4,No,276.0,6.0,2024-01-30
FAC0090,Bangalore,Railway Station,7.3,9.0,6.5,Yes,166.0,1.0,2024-11-29
FAC0091,Delhi,Railway Station,4.8,4.1,6.8,Yes,256.0,5.0,2024-07-05
FAC0092,Bangalore,Railway Station,6.4,2.9,7.0,Partial,500.0,5.0,2024-11-04
FAC0093,Delhi,Railway Station,8.8,6.9,6.1,No,235.0,7.0,2024-12-16
FAC0094,Kolkata,Public Toilet,8.5,4.2,2.7,Yes,428.0,4.0,2024-05-31
FAC0095,Mumbai,Park,6.9,1.7,5.0,Yes,272.0,6.0,2024-08-12
FAC0096,Mumbai,Market,4.7,3.4,7.1,No,107.0,0.0,2024-04-09
FAC0097,Bangalore,Hospital,6.5,3.6,2.8,No,329.0,0.0,2024-07-09
FAC0098,Kolkata,Public Toilet,6.5,4.9,1.9,Yes,244.0,8.0,2024-08-18
FAC0099,Bangalore,Public Toilet,4.9,6.5,3.0,Yes,405.0,3.0,2024-08-29
FAC0100,Pune,Bus Stand,6.8,5.6,2.0,Partial,360.0,4.0,2024-05-27
FAC0101,Delhi,Railway Station,6.5,6.5,2.5,Unknown,139.0,8.0,2024-06-29
FAC0102,Delhi,Park,9.0,2.9,6.1,Yes,159.0,4.0,2024-01-23
FAC0103,Pune,Market,7.9,5.3,8.4,Yes,326.0,4.0,2024-11-25
FAC0104,Delhi,Hospital,9.1,2.5,5.2,Yes,320.0,2.0,2024-06-07
FAC0105,Kolkata,Market,8.7,5.3,4.4,Yes,550.0,2.0,2024-08-13
FAC0106,Chennai,Railway Station,10.0,7.8,4.1,No,119.0,7.0,2024-05-30
FAC0107,Bangalore,Public Toilet,8.8,6.9,3.5,No,491.0,5.0,2024-01-30
FAC0108,Mumbai,Hospital,6.5,4.3,2.9,Yes,379.0,3.0,2024-07-15
FAC0109,Kolkata,Public Toilet,4.4,3.7,6.5,Yes,254.0,0.0,2024-07-17
FAC0110,Kolkata,Public Toilet,5.5,5.4,6.2,No,345.0,8.0,2024-12-31
FAC0111,Chennai,Public Toilet,8.2,0.6,7.8,Yes,281.0,1.0,2024-04-24
FAC0112,Mumbai,Bus Stand,6.0,5.9,2.9,No,488.0,4.0,2024-09-02
FAC0113,Kolkata,Market,6.9,1.8,9.8,Yes,479.0,0.0,2024-08-09
FAC0114,Kolkata,Public Toilet,7.3,6.7,2.2,Yes,367.0,6.0,2024-11-21
FAC0115,Kolkata,Railway Station,7.6,6.7,2.0,Yes,262.0,0.0,2024-01-15
FAC0116,Mumbai,Public Toilet,5.2,8.8,3.3,Yes,150.0,0.0,2024-09-04
FAC0117,Delhi,Hospital,4.9,6.7,4.0,No,218.0,1.0,2024-03-07
FAC0118,Bangalore,Park,6.6,3.9,3.8,No,417.0,6.0,2024-03-22
FAC0119,Bangalore,Park,6.3,4.2,8.4,No,675.5,1.0,2024-01-26
FAC0120,Bangalore,Market,6.5,2.4,2.1,No,295.0,4.0,2024-01-27
FAC0121,Kolkata,Park,7.3,7.9,6.8,Partial,379.0,2.0,2024-07-06
FAC0122,Delhi,Bus Stand,6.5,3.9,3.2,Yes,378.0,4.0,2024-11-09
FAC0123,Bangalore,Bus Stand,4.6,7.2,6.1,Partial,131.0,5.0,2024-10-25
FAC0124,Bangalore,Hospital,4.5,7.5,2.3,Partial,0.0,5.0,2024-11-18
FAC0125,Pune,Park,6.8,3.6,5.2,Partial,675.5,5.0,2024-08-29
FAC0126,Pune,Hospital,6.2,6.5,5.0,Yes,0.0,0.0,2024-12-12
FAC0127,Pune,Hospital,4.8,3.1,3.4,Yes,237.0,3.0,2024-09-02
FAC0128,Bangalore,Park,8.0,8.8,2.9,Yes,253.0,7.0,2024-01-22
FAC0129,Bangalore,Hospital,6.5,7.7,2.5,Yes,93.0,5.0,2024-12-08
FAC0130,Kolkata,Bus Stand,8.6,5.1,3.9,No,218.0,6.0,2024-08-31
FAC0131,Chennai,Hospital,6.5,5.5,3.1,Yes,494.0,2.0,2024-01-19
FAC0132,Chennai,Market,5.4,6.8,7.9,Yes,314.0,3.0,2024-09-09
FAC0133,Delhi,Park,5.3,5.8,5.5,No,675.5,1.0,2024-07-26
FAC0134,Chennai,Park,4.2,4.5,6.5,Yes,332.0,5.0,2024-06-03
FAC0135,Kolkata,Hospital,5.2,4.8,3.5,Yes,385.0,2.0,2024-05-31
FAC0136,Bangalore,Park,6.7,6.4,9.9,No,442.0,8.0,2024-04-21
FAC0137,Delhi,Hospital,6.6,1.4,6.6,Yes,380.0,7.0,2024-09-23
FAC0138,Chennai,Public Toilet,7.6,4.2,1.3,No,450.0,5.0,2024-06-06
FAC0139,Pune,Public Toilet,3.9,7.7,4.4,Yes,102.0,0.0,2024-04-02
FAC0140,Delhi,Hospital,7.8,8.4,4.1,No,77.0,8.0,2024-03-09
FAC0141,Pune,Railway Station,6.5,9.8,3.6,Yes,348.0,6.0,2024-08-23
FAC0142,Bangalore,Bus Stand,3.9,4.7,9.6,Yes,515.0,4.0,2024-08-16
FAC0143,Kolkata,Hospital,6.3,4.9,4.4,Yes,148.0,0.0,2024-10-22
FAC0144,Kolkata,Hospital,5.8,6.1,3.0,Yes,481.0,3.0,2024-12-13
FAC0145,Chennai,Park,2.5,5.6,7.6,Partial,219.0,2.0,2024-12-28
FAC0146,Delhi,Market,8.2,7.7,3.1,No,224.0,3.0,2024-04-07
FAC0147,Mumbai,Railway Station,4.7,7.4,5.3,Partial,314.0,4.0,2024-03-01
FAC0148,Pune,Market,4.2,8.1,2.8,Yes,211.0,5.0,2024-09-11
FAC0149,Chennai,Public Toilet,7.4,2.5,4.6,Yes,168.0,1.0,2024-08-01
FAC0150,Bangalore,Bus Stand,7.9,6.0,6.0,Partial,388.0,0.0,2024-09-08
FAC0151,Chennai,Bus Stand,6.5,3.6,6.3,Yes,445.0,7.0,2024-01-04
FAC0152,Chennai,Bus Stand,5.4,6.3,3.2,Yes,477.0,4.0,2024-01-04
FAC0153,Kolkata,Park,6.2,5.7,4.0,Yes,117.0,9.0,2024-04-08
FAC0154,Kolkata,Park,6.9,5.5,6.6,No,633.0,7.0,2024-11-28
FAC0155,Mumbai,Public Toilet,5.0,6.6,1.4,Yes,332.0,9.0,2024-04-27
FAC0156,Delhi,Hospital,8.2,7.2,2.9,Yes,502.0,1.0,2024-04-16
FAC0157,Kolkata,Bus Stand,6.5,2.3,3.8,Yes,335.0,0.0,2024-12-18
FAC0158,Pune,Public Toilet,5.6,0.45,4.5,Yes,389.0,5.0,2024-11-20
FAC0159,Bangalore,Market,4.8,5.6,6.7,Partial,242.0,3.0,2024-11-20
FAC0160,Delhi,Hospital,5.9,4.0,5.8,Yes,428.0,4.0,2024-07-27
FAC0161,Mumbai,Public Toilet,8.4,6.9,1.3,No,149.0,7.0,2024-12-16
FAC0162,Chennai,Bus Stand,6.6,6.6,5.9,No,355.0,5.0,2024-09-10
FAC0163,Kolkata,Park,6.8,6.4,2.7,Yes,644.0,5.0,2024-06-02
FAC0164,Bangalore,Park,5.0,6.8,4.0,Yes,366.0,6.0,2024-05-23
FAC0165,Chennai,Railway Station,8.3,7.2,2.2,Partial,196.0,8.0,2024-07-28
FAC0166,Pune,Market,7.0,6.6,5.9,Yes,170.0,0.0,2024-12-20
FAC0167,Chennai,Park,6.5,6.7,3.3,Partial,38.0,3.0,2024-12-12
FAC0168,Pune,Market,5.9,7.3,4.1,No,353.0,4.0,2024-08-25
FAC0169,Pune,Park,6.1,4.4,7.0,Yes,297.0,0.0,2024-09-04
FAC0170,Bangalore,Market,8.8,8.1,6.5,No,246.0,6.0,2024-05-04
FAC0171,Kolkata,Bus Stand,5.0,4.9,2.3,No,374.0,2.0,2024-01-03
FAC0172,Pune,Bus Stand,5.7,6.4,8.0,Yes,62.0,1.0,2024-11-23
FAC0173,Bangalore,Park,5.1,6.8,6.0,No,391.0,0.0,2024-06-05
FAC0174,Mumbai,Bus Stand,4.3,4.7,5.4,No,228.0,4.0,2024-10-11
FAC0175,Delhi,Market,6.2,6.7,6.2,Yes,125.0,7.0,2024-12-29
FAC0176,Chennai,Market,5.9,6.8,7.0,Yes,268.0,6.0,2024-02-27
FAC0177,Kolkata,Public Toilet,6.2,8.0,7.2,Yes,289.0,4.0,2024-01-17
FAC0178,Chennai,Railway Station,4.6,3.4,7.8,No,349.0,2.0,2024-08-07
FAC0179,Delhi,Park,7.3,6.5,4.7,Yes,350.0,0.0,2024-12-13
FAC0180,Mumbai,Bus Stand,6.0,8.9,3.6,Yes,600.0,3.0,2024-12-12
FAC0181,Chennai,Market,8.1,7.7,3.0,Yes,195.0,0.0,2024-06-16
FAC0182,Kolkata,Public Toilet,3.7,8.1,1.4,Yes,280.0,0.0,2024-04-18
FAC0183,Chennai,Railway Station,5.9,7.0,3.4,No,276.0,4.0,2024-03-21
FAC0184,Chennai,Market,2.8,5.5,4.5,Yes,628.0,3.0,2024-02-12
FAC0185,Bangalore,Hospital,7.4,4.8,3.0,Yes,377.0,2.0,2024-01-05
FAC0186,Pune,Railway Station,6.8,7.9,4.5,No,241.0,0.0,2024-07-14
FAC0187,Delhi,Hospital,7.5,5.5,4.2,Yes,296.0,0.0,2024-02-21
FAC0188,Delhi,Public Toilet,7.6,3.8,3.3,No,267.0,5.0,2024-12-19
FAC0189,Mumbai,Hospital,7.4,4.5,3.4,No,239.0,3.0,2024-09-27
FAC0190,Mumbai,Railway Station,7.1,6.5,4.0,Partial,134.0,5.0,2024-04-20
FAC0191,Mumbai,Public Toilet,8.2,4.9,3.7,No,530.0,1.0,2024-03-20
FAC0192,Kolkata,Railway Station,7.3,3.3,6.5,Yes,240.0,6.0,2024-01-29
FAC0193,Bangalore,Hospital,6.3,2.2,7.0,Yes,460.0,7.0,2024-05-17
FAC0194,Pune,Public Toilet,6.5,5.6,4.0,No,292.0,5.0,2024-10-17
FAC0195,Delhi,Railway Station,8.2,8.4,7.1,Yes,161.0,4.0,2024-01-19
FAC0196,Kolkata,Hospital,8.6,5.4,2.2,Yes,303.0,10.0,2024-04-24
FAC0197,Kolkata,Public Toilet,7.2,5.3,2.8,Yes,675.5,2.0,2024-09-09
FAC0198,Delhi,Hospital,8.5,8.2,2.3,Yes,503.0,4.0,2024-12-02
FAC0199,Chennai,Hospital,6.5,4.6,2.9,No,279.0,11.0,2024-07-09
FAC0200,Chennai,Hospital,5.3,6.3,5.0,Yes,202.0,1.0,2024-07-20
FAC0201,Pune,Hospital,5.6,7.4,5.0,Yes,657.0,4.0,2024-04-16
FAC0202,Chennai,Railway Station,6.5,1.7,5.5,Yes,425.0,7.0,2024-05-07
FAC0203,Bangalore,Market,3.8,5.2,4.1,Yes,675.5,9.0,2024-02-01
FAC0204,Delhi,Bus Stand,5.5,6.1,6.6,Yes,199.0,2.0,2024-06-18
FAC0205,Mumbai,Public Toilet,7.0,5.3,6.6,No,226.0,1.0,2024-11-10
FAC0206,Kolkata,Park,6.5,5.5,6.3,No,426.0,1.0,2024-10-05
FAC0207,Mumbai,Market,6.8,3.7,2.1,Partial,252.0,1.0,2024-08-29
FAC0208,Kolkata,Railway Station,6.5,6.3,4.5,Yes,477.0,6.0,2024-07-17
FAC0209,Bangalore,Bus Stand,7.6,7.9,5.7,Partial,82.0,8.0,2024-09-09
FAC0210,Kolkata,Railway Station,6.5,5.8,5.0,Yes,311.0,6.0,2024-06-14
FAC0211,Mumbai,Public Toilet,8.2,8.0,5.2,Partial,356.0,8.0,2024-03-21
FAC0212,Pune,Market,3.0,6.8,4.5,Yes,481.0,11.0,2024-06-06
FAC0213,Pune,Hospital,6.2,6.7,7.9,Partial,302.0,0.0,2024-10-16
FAC0214,Mumbai,Market,6.5,7.6,7.3,Yes,224.0,6.0,2024-01-06
FAC0215,Bangalore,Bus Stand,6.5,6.2,4.5,Yes,371.0,7.0,2024-09-02
FAC0216,Kolkata,Hospital,7.1,5.6,2.9,No,559.0,6.0,2024-02-08
FAC0217,Kolkata,Public Toilet,3.8,5.5,7.2,No,154.0,5.0,2024-10-03
FAC0218,Bangalore,Hospital,6.5,5.2,6.1,Yes,151.0,6.0,2024-09-02
FAC0219,Delhi,Public Toilet,7.6,5.7,4.3,Yes,359.0,2.0,2024-07-08
FAC0220,Delhi,Market,8.2,7.6,5.2,Yes,317.0,6.0,2024-10-28
FAC0221,Delhi,Park,8.2,5.5,4.5,No,244.0,2.0,2024-10-19
FAC0222,Pune,Park,5.9,8.4,8.8,No,501.0,11.0,2024-11-17
FAC0223,Delhi,Park,6.3,5.5,5.2,No,271.0,0.0,2024-08-02
FAC0224,Mumbai,Market,5.7,7.0,6.8,Partial,318.0,0.0,2024-07-29
FAC0225,Bangalore,Market,5.2,3.3,3.2,No,315.0,6.0,2024-05-17
FAC0226,Bangalore,Public Toilet,8.4,3.6,7.8,Yes,266.0,7.0,2024-06-13
FAC0227,Bangalore,Hospital,4.3,6.9,5.1,No,395.0,3.0,2024-03-10
FAC0228,Kolkata,Park,3.5,6.8,4.8,Yes,359.0,2.0,2024-11-21
FAC0229,Mumbai,Hospital,8.2,5.9,3.4,No,247.0,1.0,2024-03-24
FAC0230,Kolkata,Bus Stand,5.6,5.5,2.0,Yes,281.0,7.0,2024-11-03
FAC0231,Mumbai,Bus Stand,6.5,9.1,2.5,Yes,668.0,1.0,2024-02-22
FAC0232,Mumbai,Park,7.3,5.5,4.5,Yes,113.0,2.0,2024-05-21
FAC0233,Bangalore,Hospital,5.6,1.4,4.1,Yes,381.0,8.0,2024-05-31
FAC0234,Bangalore,Market,4.6,2.8,6.5,Partial,249.0,0.0,2024-12-09
FAC0235,Bangalore,Park,6.2,6.7,3.0,Yes,139.0,5.0,2024-02-15
FAC0236,Delhi,Railway Station,7.0,6.2,8.9,No,331.0,1.0,2024-11-13
FAC0237,Mumbai,Market,8.1,4.0,6.0,Yes,191.0,0.0,2024-03-14
FAC0238,Bangalore,Hospital,6.5,5.8,5.3,Yes,236.0,2.0,2024-02-15
FAC0239,Delhi,Park,6.5,6.4,2.2,Unknown,373.0,4.0,2024-05-07
FAC0240,Delhi,Hospital,6.8,6.7,3.2,Yes,151.0,6.0,2024-06-21
FAC0241,Chennai,Hospital,6.5,5.4,6.2,Yes,217.0,7.0,2024-03-27
FAC0242,Mumbai,Railway Station,9.9,4.6,0.7,No,382.0,2.0,2024-12-19
FAC0243,Mumbai,Market,5.6,5.9,4.4,Yes,533.0,2.0,2024-02-23
FAC0244,Kolkata,Hospital,4.1,4.3,3.3,Yes,94.0,4.0,2024-10-07
FAC0245,Chennai,Bus Stand,5.7,3.4,4.5,Yes,323.0,8.0,2024-05-11
FAC0246,Pune,Bus Stand,4.6,0.45,6.1,Yes,232.0,4.0,2024-02-18
FAC0247,Mumbai,Public Toilet,8.1,3.1,5.5,No,423.0,6.0,2024-07-16
FAC0248,Pune,Market,6.1,6.4,1.5,Yes,475.0,7.0,2024-12-13
FAC0249,Chennai,Bus Stand,4.1,3.3,1.1,Yes,107.0,4.0,2024-09-25
FAC0250,Pune,Park,6.7,5.3,3.0,Yes,72.0,3.0,2024-03-17
FAC0251,Kolkata,Park,8.9,6.5,6.9,No,543.0,4.0,2024-07-25
FAC0252,Delhi,Public Toilet,6.0,5.5,5.5,No,449.0,5.0,2024-10-08
FAC0253,Mumbai,Public Toilet,7.7,0.5,1.5,Partial,60.0,5.0,2024-11-13
FAC0254,Kolkata,Market,9.1,5.1,2.5,No,490.0,7.0,2024-12-25
FAC0255,Mumbai,Public Toilet,8.2,4.1,6.1,No,77.0,7.0,2024-02-25
FAC0256,Chennai,Public Toilet,8.0,8.9,2.6,Partial,526.0,4.0,2024-10-10
FAC0257,Chennai,Park,4.4,5.8,5.7,Partial,255.0,6.0,2024-11-07
FAC0258,Pune,Bus Stand,9.4,4.7,4.5,Yes,223.0,4.0,2024-12-30
FAC0259,Pune,Park,5.7,4.5,3.2,Yes,212.0,5.0,2024-06-29
FAC0260,Kolkata,Market,6.0,5.5,1.9,No,154.0,0.0,2024-01-28
FAC0261,Pune,Public Toilet,7.4,8.7,5.5,Yes,404.0,4.0,2024-12-11
FAC0262,Pune,Park,7.0,7.7,1.8,Partial,162.0,6.0,2024-12-16
FAC0263,Bangalore,Park,9.3,6.6,5.8,No,589.0,7.0,2024-04-09
FAC0264,Bangalore,Market,3.0,6.8,7.5,Yes,537.0,2.0,2024-01-03
FAC0265,Bangalore,Market,6.2,4.4,5.6,Yes,408.0,4.0,2024-09-26
FAC0266,Delhi,Bus Stand,4.0,2.0,4.0,Yes,139.0,5.0,2024-11-12
FAC0267,Kolkata,Market,9.9,5.4,4.8,Yes,297.0,0.0,2024-02-28
FAC0268,Chennai,Railway Station,6.5,3.9,4.1,Partial,363.0,1.0,2024-02-19
FAC0269,Delhi,Park,4.0,4.9,5.3,Yes,504.0,6.0,2024-02-06
FAC0270,Pune,Hospital,5.1,6.8,6.5,Yes,356.0,4.0,2024-08-18
FAC0271,Pune,Market,6.2,5.7,3.2,Partial,135.0,8.0,2024-11-06
FAC0272,Mumbai,Railway Station,7.7,5.7,2.2,No,316.0,3.0,2024-11-20
FAC0273,Delhi,Railway Station,6.5,1.5,5.5,Yes,67.0,4.0,2024-02-13
FAC0274,Bangalore,Bus Stand,6.4,5.5,4.5,Yes,377.0,10.0,2024-12-09
FAC0275,Kolkata,Public Toilet,9.0,1.8,6.9,Partial,294.0,8.0,2024-04-30
FAC0276,Mumbai,Railway Station,7.7,2.4,1.3,Yes,166.0,4.0,2024-03-27
FAC0277,Mumbai,Railway Station,6.5,6.9,4.3,Yes,139.0,7.0,2024-11-06
FAC0278,Mumbai,Railway Station,8.7,6.2,3.6,Partial,380.0,8.0,2024-10-23
FAC0279,Chennai,Park,6.6,6.0,4.2,Partial,617.0,0.0,2024-09-18
FAC0280,Mumbai,Market,7.0,5.3,4.7,Yes,457.0,0.0,2024-12-03
FAC0281,Delhi,Hospital,6.0,0.8,8.1,Yes,363.0,6.0,2024-01-24
FAC0282,Mumbai,Hospital,7.2,4.1,7.6,Partial,219.0,2.0,2024-02-09
FAC0283,Kolkata,Railway Station,3.7,8.6,2.5,Yes,285.0,0.0,2024-04-18
FAC0284,Delhi,Bus Stand,6.7,7.0,7.0,Yes,217.0,1.0,2024-07-29
FAC0285,Mumbai,Bus Stand,8.8,6.2,6.1,Yes,479.0,5.0,2024-12-04
FAC0286,Bangalore,Public Toilet,5.9,6.1,7.4,No,361.0,2.0,2024-05-15
FAC0287,Delhi,Hospital,4.9,1.3,3.8,No,267.0,2.0,2024-08-31
FAC0288,Kolkata,Park,7.1,5.5,5.4,Partial,300.0,2.0,2024-08-08
FAC0289,Kolkata,Market,6.1,5.9,2.9,No,279.0,4.0,2024-09-01
FAC0290,Delhi,Public Toilet,6.5,5.5,8.9,No,299.0,4.0,2024-06-10
FAC0291,Chennai,Railway Station,8.0,6.8,3.0,Partial,240.0,1.0,2024-07-08
FAC0292,Kolkata,Park,7.3,5.5,5.2,Partial,168.0,7.0,2024-03-23
FAC0293,Mumbai,Bus Stand,3.3,5.3,5.5,Yes,675.5,8.0,2024-07-08
FAC0294,Mumbai,Park,6.5,7.4,5.0,No,162.0,1.0,2024-04-13
FAC0295,Pune,Park,6.4,6.0,2.4,Yes,194.0,0.0,2024-12-08
FAC0296,Chennai,Market,4.7,3.4,3.1,Yes,465.0,2.0,2024-04-09
